Zeitstempel,What's your age?,How much time do you play games per day?,How much time do you watch competitive games per day?,What's your role in eSport?,Do you prefer playing in teams or solo?,Have you or your team received coaching?,Which of these games do you play competitively?,Which of these games is your most important competitive eSports-game?,"Regarding your choice, which is the strongest region for the eSport-game?",What do you think might be the reason?,"How do you rate the overall importance of structural organisation (management, coaching, analysis) in eSports?",How do you rate the importance of managers in eSports?,What's your opinion on managers?,How do you rate the importance of coaches in eSports?,What's your opinion on coaches?,How do you rate the importance of analysts in eSports?,What's your opinion on analysts?,How do you rate the importance of management and coaching for further development of eSport popularity?
29.08.2016 19:40:16,19 - 21,more than 10 hours,8 - 10 hours,Analyst,Teams,got coached but way earlier,"League of Legends, Smite",League of Legends,Korea,"time investment, structural organisation, popularity of eSports in the region",10,10,,10,,10,,10
29.08.2016 19:41:34,21 - 24,5 - 7 hours,1 - 3 hours,Coach,Teams,didn't receive any coaching,None,League of Legends,Korea,"mentality of the players, time investment, structural organisation, coaching, popularity of eSports in the region",4,4,Honestly for the most part they are people who are too bad to be players and too stupid to be coaches but still want to be involved in the esports scene.,9,Very important to have an independant arbiter in a team environment who has a good overview of the macro game,5,Similar to coaches only they don't have the personality or the communication skills to deal with players.,7
29.08.2016 19:43:44,16 - 18,5 - 7 hours,1 - 3 hours,Player,Solo,got coached in the last 3 months,League of Legends,League of Legends,Korea,"time investment, structural organisation, coaching, popularity of eSports in the region, salaries and investments",8,6,,10,,9,,7
29.08.2016 19:43:49,,more than 10 hours,5 - 7 hours,Manager,Teams,currently getting coached,"League of Legends, Counterstrike GO",League of Legends,Korea,"mentality of the players, salaries and investments",10,10,i am manager.And players just care money ,10,Coach doesnt have magic in hands not really importand.,1,no need,10
29.08.2016 19:43:56,16 - 18,more than 10 hours,under 1 hour,Player,Solo,got coached in the last 6 months,League of Legends,League of Legends,Korea,"mentality of the players, time investment, structural organisation, coaching, popularity of eSports in the region, salaries and investments",10,3,they're good guys,10,they're good if they have knowledge,1,not important,5
29.08.2016 19:44:13,16 - 18,under 1 hour,3 - 5 hours,Manager,Teams,currently getting coached,League of Legends,League of Legends,Korea,time investment,10,10,,10,,10,,10
29.08.2016 19:45:37,21 - 24,1 - 3 hours,1 - 3 hours,Manager,Teams,got coached in the last year,League of Legends,League of Legends,Korea,"mentality of the players, time investment, structural organisation, coaching, popularity of eSports in the region",10,10,Manager is the link between players and organization he is one of the most important role.,8,,6,,10
29.08.2016 19:45:45,21 - 24,under 1 hour,5 - 7 hours,Coach,Solo,currently getting coached,League of Legends,League of Legends,Europe,coaching,8,6,,9,,5,,9
29.08.2016 19:46:22,,3 - 5 hours,1 - 3 hours,Manager,Teams,currently getting coached,League of Legends,League of Legends,Korea,mentality of the players,10,10,"I'm manager of Pain Gaming, proffesional team from Spain. I think that my roll is very essential beause all teams need a good schedule, good organization and a person who always be there para solve everything .",10,He is the most important role in the staff. He is the boss of the player and one coach need to try always a good performance.,10,He is the second of the coach. Always testing everthing of this game.,10
29.08.2016 19:46:47,25 - 27,5 - 7 hours,under 1 hour,Manager,Teams,didn't receive any coaching,"League of Legends, Overwatch",Overwatch,Korea,"mentality of the players, structural organisation, coaching",10,9,They make the players' lives easier.,9,Very important if you want to be the best of the best.,8,Very important if you want to be the best of the best. A little bit less important than coaches and/or managers.,9
